,Gender,Age,CategorizedAge,Geography,Balance,EstimatedSalary,CreditScore,CategorizedCreditScore,NumOfProducts,HasCrCard,Tenure,IsActiveMember,Exited
2931,Female,37,Mid-Career Adults,Germany,124513.66,158610.89,638,Fair,2,Yes,7,No,No
2932,Female,54,Late Career Adults,France,0.0,191212.63,688,Good,1,Yes,9,No,Yes
2933,Male,46,Late Career Adults,Spain,0.0,61931.21,588,Fair,1,Yes,8,No,No
2934,Male,33,Early Career Adults,France,0.0,58043.02,631,Fair,1,Yes,7,Yes,Yes
2935,Male,35,Mid-Career Adults,Spain,100988.39,22247.27,687,Good,2,Yes,8,No,No
2936,Male,44,Mid-Career Adults,France,118577.24,31448.52,599,Fair,1,Yes,10,Yes,No
2937,Male,28,Early Career Adults,Spain,0.0,146875.86,718,Good,2,Yes,6,No,No
2938,Male,27,Early Career Adults,France,0.0,116081.93,730,Good,2,Yes,5,Yes,No
2939,Female,39,Mid-Career Adults,France,0.0,73669.94,533,Poor,1,No,2,Yes,Yes
2940,Female,28,Early Career Adults,Spain,0.0,93959.96,711,Good,2,Yes,5,Yes,No
2941,Female,26,Early Career Adults,Spain,0.0,158918.03,555,Poor,2,No,9,Yes,No
2942,Female,42,Mid-Career Adults,France,113311.11,198193.75,850,Exceptional,1,Yes,9,Yes,No
2943,Female,41,Mid-Career Adults,France,0.0,13160.03,678,Good,1,No,9,No,No
2944,Male,32,Early Career Adults,France,0.0,4660.91,576,Poor,2,Yes,7,No,No
2945,Male,20,Young Adults,Germany,124365.42,180197.74,835,Exceptional,1,No,4,No,Yes
2946,Male,42,Mid-Career Adults,France,147249.29,63023.02,592,Fair,2,Yes,1,Yes,No
2947,Male,36,Mid-Career Adults,France,103688.19,118971.74,774,Very Good,1,No,7,Yes,No
2948,Female,29,Early Career Adults,France,138740.24,154700.61,620,Fair,2,No,1,No,No
2949,Male,39,Mid-Career Adults,Spain,111900.14,97577.17,519,Poor,1,Yes,4,Yes,No
2950,Female,37,Mid-Career Adults,Spain,152760.24,48990.5,734,Good,1,Yes,0,Yes,No
2951,Male,31,Early Career Adults,Germany,143966.3,140262.96,763,Very Good,2,Yes,7,Yes,Yes
2952,Male,51,Late Career Adults,France,141556.96,130189.53,733,Good,1,Yes,10,No,No
2953,Female,43,Mid-Career Adults,France,0.0,16301.91,650,Fair,2,Yes,6,Yes,No
2954,Female,33,Early Career Adults,France,0.0,126962.41,538,Poor,2,Yes,5,No,No
2955,Female,46,Late Career Adults,France,0.0,158750.53,577,Poor,1,Yes,1,Yes,No
2956,Male,30,Early Career Adults,France,0.0,199644.2,792,Very Good,2,Yes,8,No,No
2957,Female,41,Mid-Career Adults,France,0.0,144272.71,686,Good,1,Yes,10,Yes,Yes
2958,Male,29,Early Career Adults,France,0.0,98320.27,589,Fair,2,No,2,Yes,No
2959,Male,25,Early Career Adults,France,162560.32,64129.03,530,Poor,1,Yes,9,No,No
2960,Female,29,Early Career Adults,Germany,123229.46,181221.09,778,Very Good,1,Yes,7,No,No
2961,Male,31,Early Career Adults,Spain,76665.71,163809.08,616,Fair,2,Yes,7,Yes,No
2962,Male,38,Mid-Career Adults,France,140278.99,171457.06,550,Poor,3,Yes,9,Yes,Yes
2963,Female,51,Late Career Adults,France,0.0,15801.02,655,Fair,2,No,3,Yes,No
2964,Male,46,Late Career Adults,France,115764.32,102950.79,721,Good,2,No,1,No,No
2965,Male,36,Mid-Career Adults,Germany,131142.53,174918.46,499,Poor,2,Yes,5,No,No
2966,Male,45,Late Career Adults,France,68375.27,193160.25,511,Poor,1,Yes,5,No,Yes
2967,Female,39,Mid-Career Adults,Germany,117833.3,5831.0,579,Poor,3,No,5,No,Yes
2968,Female,36,Mid-Career Adults,Spain,0.0,82298.59,696,Good,2,Yes,7,Yes,No
2969,Male,34,Early Career Adults,France,0.0,130686.59,681,Good,2,No,7,No,No
2970,Male,45,Late Career Adults,France,0.0,52885.23,815,Exceptional,1,No,7,Yes,Yes
2971,Male,30,Early Career Adults,Spain,111093.01,68985.99,681,Good,1,Yes,2,No,No
2972,Male,42,Mid-Career Adults,Spain,132657.55,35367.19,641,Fair,1,Yes,9,No,No
2973,Female,56,Near-Retirement Adults,France,128882.49,196241.94,591,Fair,1,Yes,9,Yes,Yes
2974,Male,59,Near-Retirement Adults,Germany,69129.59,170705.53,565,Poor,1,Yes,9,Yes,No
2975,Male,37,Mid-Career Adults,France,0.0,126477.41,487,Poor,2,Yes,6,Yes,No
2976,Male,39,Mid-Career Adults,France,121404.64,159618.17,729,Good,1,Yes,4,Yes,No
2977,Female,45,Late Career Adults,Spain,131355.3,195395.33,505,Poor,3,Yes,9,No,Yes
2978,Female,35,Mid-Career Adults,France,102097.33,168285.85,580,Fair,1,No,1,Yes,No
2979,Male,40,Mid-Career Adults,France,154863.15,138052.51,642,Fair,1,Yes,1,Yes,No
2980,Female,41,Mid-Career Adults,Spain,99945.93,71179.31,850,Exceptional,2,Yes,3,No,No
2981,Male,39,Mid-Career Adults,Germany,121704.32,55556.3,616,Fair,2,Yes,2,No,No
2982,Female,43,Mid-Career Adults,Spain,0.0,31705.19,526,Poor,2,Yes,3,No,No
2983,Male,35,Mid-Career Adults,Germany,138782.76,186118.93,523,Poor,1,Yes,8,Yes,No
2984,Male,35,Mid-Career Adults,France,0.0,195580.28,663,Fair,2,Yes,9,Yes,No
2985,Male,30,Early Career Adults,France,136291.71,54113.38,840,Exceptional,1,Yes,8,No,No
2986,Male,42,Mid-Career Adults,Germany,107856.57,127528.84,570,Poor,2,Yes,0,No,No
2987,Female,26,Early Career Adults,Germany,108348.66,60231.74,676,Good,1,No,1,No,Yes
2988,Male,47,Late Career Adults,France,93871.95,156878.42,689,Good,3,Yes,1,No,Yes
2989,Female,45,Late Career Adults,Spain,0.0,182784.11,703,Good,1,Yes,1,No,Yes
2990,Male,19,Young Adults,Germany,125860.2,129690.5,491,Poor,1,No,2,No,No
2991,Male,49,Late Career Adults,France,172713.44,113860.81,584,Fair,1,Yes,8,No,No
2992,Female,51,Late Career Adults,France,0.0,184524.74,810,Exceptional,2,No,5,Yes,No
2993,Female,59,Near-Retirement Adults,Spain,0.0,36124.98,745,Very Good,1,Yes,8,Yes,No
2994,Female,39,Mid-Career Adults,France,130786.92,121316.07,625,Fair,1,No,3,Yes,No
2995,Female,29,Early Career Adults,France,112367.34,185630.76,535,Poor,1,Yes,2,No,No
2996,Female,45,Late Career Adults,Spain,91091.06,71133.12,729,Good,2,Yes,7,No,No
2997,Female,26,Early Career Adults,France,106198.5,32020.42,655,Fair,1,No,7,Yes,No
2998,Male,47,Late Career Adults,France,142669.93,162760.96,751,Very Good,2,Yes,5,No,No
2999,Male,33,Early Career Adults,France,112833.35,175178.56,525,Poor,1,No,1,Yes,No
3000,Female,40,Mid-Career Adults,France,0.0,177099.71,532,Poor,2,No,5,Yes,No
3001,Female,43,Mid-Career Adults,Spain,0.0,66406.37,696,Good,2,Yes,4,Yes,No
3002,Female,32,Early Career Adults,Germany,104336.43,59559.81,786,Very Good,2,No,2,No,No
3003,Male,55,Near-Retirement Adults,France,104305.74,175750.21,580,Fair,1,No,6,Yes,No
3004,Male,47,Late Career Adults,Germany,140187.1,174311.3,596,Fair,2,Yes,5,Yes,No
3005,Male,39,Mid-Career Adults,France,0.0,171716.81,683,Good,2,Yes,4,No,No
3006,Female,45,Late Career Adults,France,114959.12,189362.39,747,Very Good,1,Yes,1,No,Yes
3007,Male,33,Early Career Adults,France,164704.38,180716.1,602,Fair,1,No,5,Yes,Yes
3008,Male,62,Near-Retirement Adults,France,119096.55,116977.89,779,Very Good,1,No,10,Yes,No
3009,Male,31,Early Career Adults,France,0.0,185105.44,551,Poor,2,Yes,1,Yes,No
3010,Male,47,Late Career Adults,France,0.0,35046.97,666,Fair,1,Yes,2,No,Yes
3011,Male,30,Early Career Adults,Spain,0.0,36251.0,526,Poor,1,Yes,8,No,No
3012,Female,41,Mid-Career Adults,France,115465.28,103174.5,849,Exceptional,1,Yes,9,No,No
3013,Female,27,Early Career Adults,France,0.0,122642.09,471,Poor,2,Yes,4,No,No
3014,Male,43,Mid-Career Adults,Spain,184926.61,122937.57,628,Fair,1,Yes,3,No,No
3015,Male,43,Mid-Career Adults,Germany,85957.88,8757.39,674,Good,2,Yes,8,No,No
3016,Male,32,Early Career Adults,France,114084.6,125782.29,797,Very Good,1,No,10,Yes,No
3017,Female,29,Early Career Adults,Spain,166930.76,122487.73,590,Fair,2,Yes,2,No,No
3018,Female,27,Early Career Adults,France,0.0,20066.38,588,Fair,1,Yes,8,No,No
3019,Male,29,Early Career Adults,France,0.0,55473.15,577,Poor,2,Yes,7,Yes,No
3020,Female,38,Mid-Career Adults,France,107193.82,38962.94,571,Poor,2,No,6,No,No
3021,Male,36,Mid-Career Adults,France,116275.12,63795.8,680,Good,1,Yes,3,Yes,No
3022,Female,27,Early Career Adults,Spain,0.0,163060.43,648,Fair,2,Yes,7,Yes,No
3023,Male,39,Mid-Career Adults,France,91068.56,26578.69,618,Fair,1,Yes,2,No,No
3024,Male,41,Mid-Career Adults,Germany,123049.21,5066.76,648,Fair,1,No,5,Yes,No
3025,Female,39,Mid-Career Adults,France,0.0,140497.67,759,Very Good,2,Yes,6,Yes,No
3026,Male,40,Mid-Career Adults,France,0.0,146156.98,585,Fair,2,No,7,No,No
3027,Female,42,Mid-Career Adults,France,137781.65,199316.19,774,Very Good,1,No,3,No,No
3028,Female,48,Late Career Adults,Germany,108128.96,103944.37,697,Good,2,Yes,2,Yes,No
3029,Male,39,Mid-Career Adults,Spain,105317.73,138021.36,605,Fair,2,Yes,10,No,No
3030,Male,20,Young Adults,France,80569.73,68621.98,676,Good,1,No,1,No,No
3031,Female,22,Young Adults,France,174852.89,28149.06,678,Good,1,Yes,4,Yes,No
3032,Female,45,Late Career Adults,Spain,89158.94,135169.76,495,Poor,3,Yes,3,No,Yes
3033,Female,85,Retired Adults,France,0.0,116537.96,787,Very Good,2,Yes,10,Yes,No
3034,Male,36,Mid-Career Adults,France,89800.14,105922.69,770,Very Good,1,Yes,2,Yes,No
3035,Male,45,Late Career Adults,Germany,101207.75,88211.12,817,Exceptional,1,No,9,No,Yes
3036,Male,43,Mid-Career Adults,France,106086.42,26900.63,659,Fair,2,Yes,1,No,No
3037,Male,21,Young Adults,France,0.0,3494.02,693,Good,2,Yes,1,Yes,No
3038,Male,47,Late Career Adults,France,0.0,113163.17,744,Very Good,2,Yes,9,No,No
3039,Female,26,Early Career Adults,Spain,101440.36,19324.5,829,Exceptional,2,Yes,8,Yes,No
3040,Male,38,Mid-Career Adults,France,0.0,189678.7,716,Good,2,Yes,4,No,No
3041,Male,34,Early Career Adults,France,106603.74,26387.71,671,Good,2,Yes,7,Yes,No
3042,Female,29,Early Career Adults,Germany,130420.2,106276.55,835,Exceptional,2,No,10,No,No
3043,Female,38,Mid-Career Adults,France,0.0,45015.38,636,Fair,1,Yes,1,No,No
3044,Male,29,Early Career Adults,Spain,45022.23,173495.77,649,Fair,1,Yes,2,Yes,No
3045,Male,27,Early Career Adults,Germany,74298.43,52581.96,621,Fair,1,Yes,1,Yes,No
3046,Female,31,Early Career Adults,Germany,133003.03,146339.27,658,Fair,1,No,3,Yes,Yes
3047,Male,48,Late Career Adults,Spain,0.0,182609.97,784,Very Good,2,Yes,7,Yes,No
3048,Female,37,Mid-Career Adults,Spain,136689.66,197890.65,783,Very Good,1,Yes,1,No,No
3049,Male,32,Early Career Adults,France,0.0,6225.63,615,Fair,2,Yes,4,Yes,No
3050,Female,44,Mid-Career Adults,France,0.0,123977.86,791,Very Good,2,Yes,5,Yes,Yes
3051,Male,53,Late Career Adults,France,102520.37,170195.4,762,Very Good,1,Yes,1,Yes,No
3052,Male,35,Mid-Career Adults,France,0.0,114190.3,607,Fair,2,Yes,2,Yes,No
3053,Female,34,Early Career Adults,France,0.0,27022.57,601,Fair,2,Yes,5,No,No
3054,Male,67,Retired Adults,Spain,88382.01,59457.0,540,Poor,1,No,1,Yes,No
3055,Male,44,Mid-Career Adults,France,115049.15,165038.41,812,Exceptional,2,Yes,4,No,No
3056,Male,58,Near-Retirement Adults,France,104796.54,154181.41,685,Good,1,Yes,1,Yes,No
3057,Male,33,Early Career Adults,France,123082.08,134960.98,680,Good,1,Yes,1,No,No
3058,Female,58,Near-Retirement Adults,Spain,0.0,65708.5,680,Good,2,Yes,8,Yes,No
3059,Female,33,Early Career Adults,France,0.0,117374.22,631,Fair,2,No,8,No,No
3060,Female,43,Mid-Career Adults,France,0.0,77703.19,569,Poor,2,Yes,7,Yes,No
3061,Male,33,Early Career Adults,Germany,88311.48,177651.38,584,Fair,2,Yes,3,Yes,No
3062,Female,40,Mid-Career Adults,France,0.0,60954.45,582,Fair,3,Yes,9,Yes,No
3063,Male,32,Early Career Adults,France,71872.19,151924.9,609,Fair,1,Yes,7,Yes,No
3064,Male,35,Mid-Career Adults,Spain,110046.93,26318.73,506,Poor,2,Yes,6,No,No
3065,Male,42,Mid-Career Adults,France,104430.08,147557.71,503,Poor,1,Yes,8,Yes,No
3066,Female,28,Early Career Adults,France,0.0,125918.17,503,Poor,2,Yes,5,No,No
3067,Male,31,Early Career Adults,Germany,138653.51,190803.37,806,Exceptional,1,Yes,10,No,No
3068,Female,31,Early Career Adults,France,102575.04,11043.54,653,Fair,1,Yes,7,Yes,No
3069,Male,43,Mid-Career Adults,France,137780.74,119100.05,666,Fair,2,Yes,7,Yes,Yes
3070,Male,32,Early Career Adults,Spain,0.0,140579.17,674,Good,2,Yes,2,No,No
3071,Male,32,Early Career Adults,France,0.0,37731.95,798,Very Good,2,No,7,Yes,No
3072,Female,30,Early Career Adults,France,105209.54,1852.58,740,Very Good,1,Yes,8,No,No
3073,Female,32,Early Career Adults,Germany,109570.21,172049.84,531,Poor,2,Yes,0,Yes,No
3074,Female,44,Mid-Career Adults,Germany,118715.86,133591.11,614,Fair,1,Yes,6,No,Yes
3075,Male,35,Mid-Career Adults,France,0.0,192751.18,556,Poor,2,Yes,10,Yes,No
3076,Female,43,Mid-Career Adults,Germany,153393.18,193828.27,678,Good,2,Yes,2,Yes,No
3077,Male,33,Early Career Adults,Germany,132603.36,55775.72,587,Fair,1,Yes,6,No,No
3078,Female,36,Mid-Career Adults,Spain,0.0,102280.29,527,Poor,2,Yes,6,Yes,No
3079,Female,34,Early Career Adults,Germany,129398.01,44965.44,757,Very Good,2,No,1,No,No
3080,Male,28,Early Career Adults,Spain,0.0,170661.02,468,Poor,2,Yes,3,No,No
3081,Male,29,Early Career Adults,France,151352.74,197145.89,693,Good,1,No,2,No,No
3082,Female,44,Mid-Career Adults,France,136836.49,192359.9,483,Poor,1,Yes,5,No,Yes
3083,Male,40,Mid-Career Adults,France,91592.06,141210.18,466,Poor,1,Yes,4,No,Yes
3084,Female,30,Early Career Adults,France,0.0,100557.03,770,Very Good,2,Yes,8,No,No
3085,Female,54,Late Career Adults,France,0.0,130805.54,734,Good,1,Yes,3,No,Yes
3086,Female,22,Young Adults,France,0.0,92606.98,716,Good,2,Yes,8,Yes,No
3087,Male,36,Mid-Career Adults,France,165536.28,123956.83,439,Poor,2,Yes,2,Yes,No
3088,Male,25,Early Career Adults,Germany,62482.95,102758.43,538,Poor,1,Yes,5,Yes,No
3089,Male,40,Mid-Career Adults,France,68155.59,94876.65,743,Very Good,1,Yes,8,No,No
3090,Female,43,Mid-Career Adults,Spain,55853.33,94811.85,734,Good,2,No,3,Yes,Yes
3091,Male,37,Mid-Career Adults,France,0.0,67840.81,656,Fair,2,No,2,Yes,No
3092,Female,31,Early Career Adults,France,79589.43,4050.57,666,Fair,1,No,2,No,No
3093,Male,41,Mid-Career Adults,Spain,100880.76,134665.25,627,Fair,1,No,5,Yes,No
3094,Female,25,Early Career Adults,Germany,174330.35,181647.13,480,Poor,2,No,3,No,No
3095,Male,19,Young Adults,France,143390.51,33282.84,792,Very Good,1,Yes,7,No,No
3096,Male,59,Near-Retirement Adults,Germany,91415.76,27965.0,613,Fair,1,No,8,No,Yes
3097,Male,30,Early Career Adults,Germany,134366.42,68343.53,476,Poor,1,Yes,3,No,No
3098,Female,24,Young Adults,France,0.0,198161.07,539,Poor,2,Yes,3,Yes,No
3099,Male,60,Near-Retirement Adults,Spain,88786.81,196858.4,696,Good,1,Yes,8,Yes,No
3100,Male,35,Mid-Career Adults,Germany,96814.46,120511.03,810,Exceptional,2,Yes,3,Yes,No
3101,Male,32,Early Career Adults,Germany,160680.41,30886.35,763,Very Good,1,Yes,9,No,No
3102,Female,29,Early Career Adults,France,0.0,2743.69,640,Fair,2,Yes,3,No,No
3103,Female,47,Late Career Adults,France,0.0,167778.62,655,Fair,2,Yes,10,No,No
3104,Male,31,Early Career Adults,Germany,145537.21,132404.64,526,Poor,1,Yes,5,No,No
3105,Female,28,Early Career Adults,France,0.0,144423.17,678,Good,2,Yes,4,Yes,Yes
3106,Female,45,Late Career Adults,France,0.0,181204.5,554,Poor,2,Yes,6,Yes,No
3107,Female,30,Early Career Adults,Spain,119370.11,182726.22,597,Fair,1,Yes,2,Yes,Yes
3108,Female,28,Early Career Adults,Spain,0.0,120880.72,560,Poor,2,Yes,1,Yes,No
3109,Female,47,Late Career Adults,Germany,134381.52,26812.89,850,Exceptional,1,No,10,No,Yes
3110,Female,74,Retired Adults,Germany,114888.74,66732.63,546,Poor,2,Yes,8,Yes,Yes
3111,Male,42,Mid-Career Adults,Germany,149332.48,100834.22,623,Fair,2,Yes,1,No,No
3112,Female,40,Mid-Career Adults,France,105061.74,107815.31,698,Good,3,Yes,7,No,Yes
3113,Male,32,Early Career Adults,France,0.0,34665.79,620,Fair,2,Yes,7,Yes,No
3114,Female,40,Mid-Career Adults,France,0.0,147093.84,619,Fair,1,Yes,10,Yes,Yes
3115,Male,21,Young Adults,France,0.0,36942.35,561,Poor,1,Yes,4,Yes,No
3116,Female,39,Mid-Career Adults,France,155062.8,16460.77,753,Very Good,1,Yes,7,Yes,No
3117,Male,43,Mid-Career Adults,Spain,88798.34,45610.63,721,Good,1,No,3,No,No
3118,Male,33,Early Career Adults,France,0.0,184954.11,451,Poor,2,Yes,6,No,No
3119,Female,51,Late Career Adults,Germany,143139.87,47795.43,680,Good,1,No,5,No,Yes
3120,Female,23,Young Adults,Spain,0.0,196789.9,590,Fair,2,Yes,7,No,No
3121,Male,27,Early Career Adults,Germany,107027.52,173425.68,634,Fair,1,Yes,3,No,No
3122,Male,29,Early Career Adults,France,140720.93,36221.18,676,Good,1,Yes,4,No,No
3123,Male,30,Early Career Adults,France,80964.57,174738.2,642,Fair,2,Yes,8,No,No
3124,Male,39,Mid-Career Adults,France,178585.46,67131.3,760,Very Good,1,Yes,6,No,Yes
3125,Female,26,Early Career Adults,Spain,135889.13,165692.03,736,Good,1,Yes,4,Yes,No
3126,Male,43,Mid-Career Adults,France,134919.85,194691.95,656,Fair,1,Yes,7,No,No
3127,Male,33,Early Career Adults,Germany,115130.34,129525.5,776,Very Good,1,No,8,No,Yes
3128,Female,34,Early Career Adults,Spain,138190.13,146511.2,832,Exceptional,2,No,6,Yes,No
3129,Male,37,Mid-Career Adults,Germany,131519.49,51752.18,631,Fair,2,Yes,9,Yes,No
3130,Female,56,Near-Retirement Adults,Spain,0.0,35418.69,795,Very Good,1,Yes,5,No,Yes
3131,Female,39,Mid-Career Adults,Germany,126935.98,57995.74,648,Fair,2,No,3,Yes,No
3132,Male,39,Mid-Career Adults,France,133707.09,108152.75,615,Fair,1,Yes,4,Yes,No
3133,Female,27,Early Career Adults,France,97893.2,166144.98,682,Good,1,Yes,1,No,No
3134,Male,34,Early Career Adults,France,127900.03,101737.8,694,Good,1,Yes,5,No,No
3135,Male,37,Mid-Career Adults,France,143835.47,33326.71,694,Good,1,No,10,Yes,No
3136,Male,44,Mid-Career Adults,France,0.0,81140.09,607,Fair,2,Yes,0,Yes,No
3137,Male,48,Late Career Adults,France,0.0,140173.17,664,Fair,1,Yes,10,No,Yes
3138,Male,60,Near-Retirement Adults,France,0.0,166513.49,756,Very Good,1,Yes,2,Yes,Yes
3139,Female,40,Mid-Career Adults,France,129596.77,103232.6,645,Fair,1,Yes,3,Yes,No
3140,Male,30,Early Career Adults,Spain,0.0,120736.04,653,Fair,2,Yes,4,No,No
3141,Female,24,Young Adults,Germany,110407.44,15832.43,710,Good,2,No,2,No,Yes
3142,Female,76,Retired Adults,France,0.0,188772.45,697,Good,2,No,7,Yes,No
3143,Female,41,Mid-Career Adults,Germany,142015.76,114323.66,619,Fair,2,Yes,8,No,No
3144,Male,55,Near-Retirement Adults,Spain,81370.07,181534.04,648,Fair,1,No,1,Yes,No
3145,Female,48,Late Career Adults,Germany,69329.47,102640.52,482,Poor,1,No,2,No,Yes
3146,Female,28,Early Career Adults,France,116755.5,158585.17,548,Poor,2,Yes,8,Yes,Yes
3147,Male,44,Mid-Career Adults,Spain,83870.33,178722.24,752,Very Good,1,Yes,6,No,No
3148,Female,39,Mid-Career Adults,France,130694.89,153955.38,648,Fair,2,Yes,6,Yes,Yes
3149,Female,34,Early Career Adults,Spain,117451.47,65374.86,643,Fair,1,Yes,8,No,No
3150,Female,35,Mid-Career Adults,Germany,206868.78,102986.15,573,Poor,2,No,9,Yes,No
3151,Female,39,Mid-Career Adults,France,111695.62,136643.84,686,Good,1,No,3,No,No
3152,Female,40,Mid-Career Adults,France,137285.26,77063.63,644,Fair,4,Yes,9,No,Yes
3153,Female,29,Early Career Adults,France,149218.39,9633.01,702,Good,1,Yes,6,Yes,No
3154,Male,51,Late Career Adults,France,0.0,43496.36,652,Fair,2,No,7,Yes,No
3155,Male,32,Early Career Adults,Spain,0.0,24267.28,641,Fair,2,Yes,7,Yes,No
3156,Female,41,Mid-Career Adults,Germany,130701.29,59354.24,692,Good,1,Yes,8,No,Yes
3157,Male,34,Early Career Adults,Spain,0.0,28269.86,574,Poor,2,No,5,No,No
3158,Female,31,Early Career Adults,France,167949.48,143162.34,643,Fair,1,Yes,3,No,No
3159,Male,23,Young Adults,France,131254.81,20199.3,834,Exceptional,1,Yes,4,No,No
3160,Male,28,Early Career Adults,France,0.0,48606.92,591,Fair,2,Yes,5,Yes,No
3161,Male,34,Early Career Adults,Spain,0.0,89013.67,470,Poor,2,No,9,Yes,No
3162,Male,34,Early Career Adults,Spain,86656.13,59890.29,608,Fair,1,No,7,Yes,No
3163,Female,37,Mid-Career Adults,Germany,114737.26,106655.88,649,Fair,1,Yes,8,Yes,Yes
3164,Female,38,Mid-Career Adults,France,0.0,156439.56,665,Fair,2,Yes,5,No,No
3165,Female,39,Mid-Career Adults,France,0.0,24176.44,651,Fair,1,Yes,6,No,No
3166,Male,62,Near-Retirement Adults,Germany,119817.33,43507.1,555,Poor,1,No,4,Yes,Yes
3167,Female,48,Late Career Adults,France,130806.99,132005.85,637,Fair,2,Yes,7,Yes,Yes
3168,Female,49,Late Career Adults,France,0.0,80496.71,675,Good,1,Yes,0,Yes,Yes
3169,Male,40,Mid-Career Adults,Spain,0.0,88947.56,677,Good,2,Yes,5,No,No
3170,Female,35,Mid-Career Adults,Germany,80931.75,12639.67,850,Exceptional,1,No,2,No,Yes
3171,Female,56,Near-Retirement Adults,France,0.0,94248.16,815,Exceptional,3,Yes,3,Yes,Yes
3172,Male,32,Early Career Adults,Germany,132178.67,11865.76,665,Fair,1,No,1,No,No
3173,Female,27,Early Career Adults,France,0.0,141449.86,485,Poor,2,Yes,3,No,No
3174,Male,43,Mid-Career Adults,Spain,0.0,149457.81,577,Poor,2,Yes,6,Yes,No
3175,Female,35,Mid-Career Adults,France,164769.02,119814.25,586,Fair,3,Yes,7,No,Yes
3176,Male,29,Early Career Adults,Germany,107233.85,24924.92,722,Good,2,Yes,1,No,No
3177,Female,27,Early Career Adults,France,176227.07,139481.53,528,Poor,2,No,7,Yes,No
3178,Female,39,Mid-Career Adults,France,109949.39,41268.65,542,Poor,2,Yes,4,Yes,No
3179,Female,34,Early Career Adults,France,0.0,1351.41,552,Poor,2,Yes,5,Yes,No
3180,Female,60,Near-Retirement Adults,France,117738.81,147489.76,678,Good,1,Yes,10,No,Yes
3181,Female,37,Mid-Career Adults,Spain,133292.45,111175.09,575,Poor,1,Yes,9,No,No
3182,Female,43,Mid-Career Adults,France,160474.59,95963.14,669,Fair,1,Yes,1,Yes,No
3183,Male,43,Mid-Career Adults,France,0.0,43128.95,636,Fair,2,Yes,6,No,No
3184,Male,55,Near-Retirement Adults,Germany,154393.43,137674.96,667,Fair,1,Yes,9,Yes,Yes
3185,Female,45,Late Career Adults,Germany,110827.49,153383.54,652,Fair,1,Yes,9,Yes,Yes
3186,Female,36,Mid-Career Adults,Germany,145750.45,96660.76,637,Fair,2,Yes,10,Yes,No
3187,Female,45,Late Career Adults,Spain,109044.3,115818.16,516,Poor,1,No,8,Yes,No
3188,Female,32,Early Career Adults,France,75170.54,37898.5,801,Exceptional,1,Yes,4,Yes,No
3189,Female,42,Mid-Career Adults,France,0.0,145222.93,692,Good,2,Yes,2,No,No
3190,Female,28,Early Career Adults,France,105795.9,41219.09,585,Fair,1,Yes,6,Yes,No
3191,Male,32,Early Career Adults,France,0.0,59249.83,590,Fair,2,Yes,5,No,No
3192,Male,66,Retired Adults,Spain,0.0,116747.62,554,Poor,2,Yes,8,Yes,No
3193,Female,49,Late Career Adults,France,0.0,116249.72,659,Fair,1,Yes,1,No,Yes
3194,Female,26,Early Career Adults,France,118097.87,61257.83,690,Good,1,Yes,3,No,No
3195,Male,29,Early Career Adults,Germany,172693.54,141798.98,697,Good,1,No,0,No,No
3196,Male,36,Mid-Career Adults,France,129440.3,102638.35,610,Fair,2,Yes,4,No,No
3197,Male,36,Mid-Career Adults,Spain,0.0,13210.56,599,Fair,2,No,4,No,No
3198,Male,23,Young Adults,France,96471.2,35550.97,544,Poor,1,Yes,1,No,No
3199,Female,46,Late Career Adults,France,0.0,104469.06,548,Poor,1,Yes,1,Yes,Yes
3200,Male,24,Young Adults,Spain,140197.18,142935.83,635,Fair,1,Yes,4,Yes,No
3201,Male,20,Young Adults,France,0.0,195486.28,722,Good,2,Yes,6,No,No
3202,Female,33,Early Career Adults,France,135946.26,63170.0,564,Poor,1,Yes,4,No,No
3203,Male,69,Retired Adults,France,0.0,58320.06,719,Good,2,Yes,3,Yes,No
3204,Male,50,Late Career Adults,Germany,81290.02,177747.03,547,Poor,3,No,3,Yes,Yes
3205,Female,42,Mid-Career Adults,France,0.0,19632.64,850,Exceptional,1,Yes,8,No,Yes
3206,Male,60,Near-Retirement Adults,Germany,113715.36,18424.24,515,Poor,1,Yes,9,No,Yes
3207,Male,56,Near-Retirement Adults,Spain,168883.08,18897.78,667,Fair,1,No,2,Yes,No
3208,Male,36,Mid-Career Adults,Germany,143421.74,97879.02,607,Fair,1,Yes,8,No,No
3209,Male,26,Early Career Adults,France,153644.39,63197.88,525,Poor,1,Yes,7,Yes,No
3210,Female,53,Late Career Adults,Spain,109330.06,75860.01,606,Fair,1,Yes,1,Yes,No
3211,Female,27,Early Career Adults,Germany,115095.88,78622.46,686,Good,2,No,1,No,No
3212,Male,35,Mid-Career Adults,France,0.0,23598.23,611,Fair,1,Yes,10,Yes,Yes
3213,Male,46,Late Career Adults,Spain,183276.32,13460.27,827,Exceptional,1,Yes,1,Yes,No
3214,Male,33,Early Career Adults,France,68193.72,19998.31,572,Poor,1,Yes,9,No,No
3215,Female,32,Early Career Adults,France,0.0,185075.63,726,Good,2,No,8,No,No
3216,Male,31,Early Career Adults,Germany,139729.54,135815.38,579,Poor,1,No,6,Yes,No
3217,Female,56,Near-Retirement Adults,Spain,98365.33,44251.33,598,Fair,1,Yes,4,Yes,No
3218,Male,36,Mid-Career Adults,France,0.0,136349.55,663,Fair,2,Yes,10,No,No
